Rillettes de Tours;5,19E+00
Rillettes du Mans;5,19E+00
Riz au lait, rayon frais;1,69E+00
Riz blanc;1,32E+00
Riz complet;1,32E+00
Riz rouge;1,32E+00
Riz sauvage;1,32E+00
Romarin frais;8,13E-01
Romarin séché;1,55E+00
Roquefort;5,97E+00
Roquette crue;9,41E-01
Safran;8,15E+00
Saké ou Alcool de riz;1,03E+00
Sardine à l'huile;6,05E+00
Sardine crue;1,93E+00
Sardine grillée;2,33E+00
Sauce soja;7,53E-01
Saucisse de Francfort;5,10E+00
Saucisse de jambon pur porc;5,10E+00
Saucisse de Montbéliard;7,86E+00
Saucisse de Morteau;7,86E+00
Saucisse de Toulouse;1,59E+01
Saucisse de volaille façon charcutière;1,34E+01
Saucisse de volaille type Knacki;1,49E+01
Saucisse végétale au blé ou seitan;2,12E+00
Saucisse végétale au tofu;1,33E+00
Saucisson sec;5,93E+00
Saumon fumé;7,99E+00
Sel;6,04E-01
Substitut de repas hypocalorique en poudre ou à boire;2,31E+00
Sucre blanc;6,12E-01
Sucre roux;1,11E+00
Sucre vanillé;6,12E-01
Surimi;6,61E+00
Terrine de lapin;6,05E+00
Tomate cerise;5,82E-01
Tomate de saison crue;5,82E-01
Tomate hors saison crue;1,96E+00
Truite arc en ciel;7,90E+00
Viande de Pigeon;9,32E+00
Vin blanc mousseux;1,23E+00
Vin blanc sec;1,23E+00
Vin doux;1,09E+00
Vin rosé;1,19E+00
Vin rouge;1,19E+00
Vinaigre;1,18E+00
Vinaigre balsamique;1,18E+00
Vinaigre de cidre;9,19E-01
Vodka;1,03E+00
Whisky;1,03E+00
Sauce aux champignons et à la crème préemballée;4,09E+00
Sauce aux champignons préemballée;3,82E+00
Champignon à la grecque;2,77E+00
Soupe aux champignons;3,60E+00
Champignon;4,94E-01
Châtaigne crue;1,88E+00
Châtaigne grillée;1,94E+00
